country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,2290,4060,4430,4940,4310,4500,3740,3350,3740,4280,5020,6100,6370,5310,6140,6210,7810,8260,8020,8790,9590,9920,10700,10600
Germany,940000,960000,933000,925000,897000,901000,918000,901000,902000,888000,867000,879000,852000,854000,790000,833000,810000,815000,832000,793000,797000,802000,799000,760000
Ghana,5160,5470,6210,6250,6370,6110,6740,7240,7440,7160,6810,9170,9630,8930,7500,9720,11200,14300,14200,14800,16100,16200,17700,18300
Greece,87000,89200,93900,98700,98000,103000,105000,105000,109000,110000,114000,113000,115000,111000,104000,97400,94600,91500,81800,78700,75000,71400,74900,73900
Grenada,150,154,169,176,194,191,194,205,216,205,216,231,238,253,253,260,253,271,304,235,260,268,267,271
Guatemala,7090,6580,7510,8650,8810,9770,10200,10700,10500,11200,12100,12200,12200,10900,11500,11100,11200,11600,12600,13600,15400,16400,16200,18400
Guinea,1170,1240,1290,1360,1430,1490,1560,1620,1700,1760,1830,1890,1970,2000,2110,2490,2600,2420,2110,2170,2450,2750,3060,3180
Guinea-Bissau,183,183,202,172,194,147,150,154,194,202,213,216,231,227,235,238,246,253,257,271,279,293,327,340
Guyana,1460,1520,1590,1660,1680,1610,1600,1580,1570,1630,1440,1290,1560,1560,1570,1720,1780,1990,1940,2010,2010,2340,2350,2430
Haiti,876,1020,1350,1230,1310,1340,1550,1800,1710,1960,2050,2090,2360,2370,2240,2100,2090,2190,2300,2790,2910,2960,2980,3000
Honduras,3830,3890,4080,4590,4670,4940,5610,6000,6670,7250,7430,7470,8610,8490,7690,7940,8620,8970,9230,9320,9830,9620,9590,9920
Hungary,61700,63200,61800,61400,61900,58600,60200,59200,62000,60500,60600,59900,58600,57500,51800,52200,50400,46900,43800,44000,46700,47500,49700,49900
Iceland,2470,2520,2620,2640,2840,2940,2870,2990,2980,3100,2970,3150,3500,3800,3730,3620,3490,3490,3480,3460,3540,3490,3620,3630
India,812000,880000,916000,934000,996000,1030000,1040000,1050000,1090000,1150000,1210000,1290000,1390000,1550000,1720000,1700000,1810000,1980000,2000000,2200000,2300000,2370000,2460000,2660000
Indonesia,227000,255000,281000,216000,244000,266000,298000,308000,317000,340000,344000,347000,377000,418000,447000,429000,508000,527000,412000,367000,507000,561000,585000,615000
Iran,271000,274000,267000,306000,380000,370000,395000,398000,414000,442000,464000,504000,514000,535000,547000,564000,580000,601000,609000,642000,641000,654000,687000,721000
Iraq,74100,69300,68100,72200,71700,71800,84600,86400,90900,114000,113000,98300,61500,92200,104000,111000,135000,153000,164000,165000,166000,189000,188000,204000
Ireland,35800,37500,38800,40700,42400,45200,47600,46100,45700,46200,48200,47600,47700,47400,42100,41700,38000,38200,37200,36700,38500,39900,38800,39000
Israel,49900,52000,54900,56100,54800,59600,63100,59300,62500,58700,56600,62200,62900,68000,63900,68300,68700,74800,65000,61900,65000,63900,64700,64300
Italy,452000,445000,449000,460000,465000,471000,476000,478000,491000,495000,495000,489000,479000,468000,417000,427000,414000,393000,364000,349000,356000,354000,349000,338000
Jamaica,9180,9700,10100,9700,9970,10300,10600,10200,10700,10600,10400,11400,9620,9950,7620,7130,7680,7330,7950,7290,7590,8170,8180,8200
Japan,1240000,1250000,1250000,1210000,1240000,1270000,1250000,1280000,1290000,1280000,1290000,1270000,1300000,1230000,1160000,1220000,1270000,1310000,1320000,1270000,1230000,1210000,1190000,1160000
Jordan,13200,13800,14100,14300,14300,15200,15600,16400,17000,18700,20500,20500,21500,20700,21400,20600,21300,23800,23800,25900,25500,24400,24200,24100
Kazakhstan,163000,149000,140000,135000,108000,134000,128000,146000,164000,170000,184000,207000,213000,213000,209000,236000,227000,234000,240000,257000,264000,268000,284000,322000
Kenya,7410,9160,8130,9900,10000,10300,9240,7830,6590,7440,8350,9340,9550,9920,12000,11800,12900,12000,12800,13800,16300,17200,18100,18500
Kiribati,29.3,29.3,29.3,29.3,29.3,33,29.3,40.3,44,47.7,58.7,66,58.7,66,55,58.7,55,51.3,51.3,58.7,62.3,66,67.8,69.6
Kuwait,54600,50000,54700,51600,53900,53400,57500,58000,59700,63200,71200,73400,74900,82400,87000,89300,86300,100000,94400,87800,92400,98100,97700,98100
Kyrgyz Republic,4510,5670,5580,5920,4650,4610,3870,4920,5390,5810,5520,5420,6520,7550,6740,6320,7560,10000,9670,10100,10300,9650,9470,10100
Lao,670,752,792,821,847,959,1060,1160,1220,1280,1340,1750,1830,2130,2670,3000,3170,3400,4010,4330,8810,17500,18200,19300
Latvia,9100,9180,8650,8290,7700,7070,7480,7510,7730,7740,7820,8320,8640,8200,7460,8560,7820,7530,7390,7190,7280,7240,7240,7200
Lebanon,12300,12800,15100,16300,16400,15500,16400,16300,18500,17200,16700,14800,13800,17400,21000,20000,20300,22400,22200,23700,24100,24500,24100,24200
Lesotho,1710,1740,1770,1800,1830,1850,1880,1910,1930,1980,2010,2040,2080,2130,2220,2280,2330,2400,2420,2430,2350,2510,2790,2660
Liberia,425,435,454,483,391,422,448,435,467,546,656,673,628,536,476,762,852,965,878,1190,1210,1360,1500,1560
Libya,45700,43800,44700,45200,44300,46800,47800,47500,48800,50000,51700,52700,49400,55400,57200,61200,39300,52500,56000,58700,56400,50100,52400,54100
Liechtenstein,204,206,219,229,227,217,215,220,230,230,229,231,201,220,206,191,177,185,193,161,159,149,155,153
Lithuania,15000,15700,15100,15900,13400,11800,12500,12600,12600,13200,14100,14400,15800,15100,12800,13700,14100,14100,13100,12900,13100,13100,13400,13600
Luxembourg,9170,9220,8570,7690,8150,8740,9230,10000,10500,11900,12100,11900,11300,11200,10700,11200,11100,10900,10300,9830,9340,9080,9250,9590
Madagascar,1290,1340,1620,1710,1820,1870,1740,1230,1680,1790,1730,1670,1780,1870,1760,1940,2380,2740,3150,3270,3620,3880,4180,4280
Malawi,908,905,948,923,922,866,793,847,904,912,907,919,970,1090,1100,1030,1140,1130,1160,1020,1120,1260,1350,1380
Malaysia,120000,124000,124000,114000,108000,127000,135000,136000,157000,172000,182000,179000,183000,203000,197000,217000,218000,216000,235000,241000,233000,247000,247000,255000
Maldives,249,290,330,301,422,451,462,594,506,667,601,759,781,843,884,935,986,1110,1090,1320,1300,1440,1480,1520
Mali,472,494,529,770,803,832,840,858,858,891,917,1080,1300,1560,1790,1980,2160,2300,2650,2910,3100,3110,3440,3560
Malta,2480,2440,2480,2490,2530,2530,2430,2420,2630,2540,2600,2610,2690,2760,2530,2530,2610,2770,2440,2430,1720,1410,1610,1580
Marshall Islands,88,88,88,91.7,88,99,103,110,106,117,114,121,125,128,132,136,139,136,139,143,143,143,147,151
Mauritania,1020,1060,1080,1070,1100,1110,1170,1250,1290,1390,1440,1420,1640,1770,1960,1960,2110,2330,2050,2500,2460,2300,2560,2660
Mauritius,1830,1950,2000,2170,2430,2690,2860,2890,3060,3090,3300,3630,3690,3770,3710,3920,3920,3970,4070,4210,4210,4350,4740,4860
Mexico,332000,346000,369000,389000,391000,396000,411000,412000,438000,439000,464000,477000,480000,493000,476000,464000,485000,497000,491000,482000,482000,486000,493000,478000
"Micronesia, Fed. Sts.",106,106,110,117,110,125,169,143,143,143,121,121,132,110,147,103,117,125,136,136,143,143,147,151
Moldova,11400,11700,7310,6450,4690,3580,3790,4060,4410,4620,4940,5030,4980,5190,4540,4830,4950,4770,4900,4740,4790,4900,4810,5130
Mongolia,7910,8030,7690,7690,7540,7490,7880,8270,8010,8580,8580,9410,12100,12000,13100,13800,21400,35100,43600,29600,23300,25300,26400,28100
Montenegro,1330,1550,1670,1760,1210,1520,1670,1770,1890,2040,1750,2060,2060,2610,1680,2420,2410,2210,2150,2110,2240,2020,2030,2010
Morocco,29600,30400,31100,31300,32400,33600,37500,38100,37500,43400,45600,47400,50300,52900,52600,56200,56800,59100,58800,59700,61100,61100,63700,66400
